"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007155","cell adhesion","81/736","147/2031",1.00654622671715e-06,0.0014373480117521,0.00121527212846797,"HAPLN1/SYK/ANXA1/MIP/BSG/MPZ/NCAM1/THY1/TECTA/OPCML/NTM/PTPRU/AGRN/MXRA8/CEBPB/CDH4/SDK2/SOX9/NTN1/TNC/TESC/SDK1/TENM2/CDH3/CDH13/ACAN/PRTG/B2M/EPHB3/TFRC/BCL6/LPP/EPHA4/NEGR1/CYR61/TNR/CNTNAP5/ITGA6/FN1/ITGAV/PLAU/VCL/PCDH15/CDHR1/NRXN3/GREM1/MYBPC3/IGF2/SPON1/IBSP/SPP1/TENM1/COL12A1/BVES/THBS2/VEGFA/PRPH2/NRXN1/FLRT3/PTK2/COL14A1/CDH2/CDH7/FAM65B/CDH10/CDH6/CDH20/BCL2/ITGA8/ITGB1/NRP1/CNTN5/ANOS1/ALCAM/COL8A1/KITLG/CNTN1/CAV1/RELN/GATA3/PODXL",81
"GO:0050877","nervous system process","56/736","94/2031",2.08866910334935e-06,0.00149130973979144,0.00126089655870616,"OPN1LW/CHRNA6/NTRK2/MIP/THRA/OPN1MSW/NGF/GUCA1A/GUCA1B/LHFPL5/CHRNB2/TECTA/OPNP/CRYBB2/CRYBB3/GABRA6/GABRA1/GABRG2/TLX3/RHO/ARL6IP5/TNNC1/RGS9BP/SLC24A1/RLBP1/CHRNA7/CHRNA3/CHRNB4/B2M/CHRND/SOX14/RPE65/CRYBA2/CHRNA1/PDE6C/PCDH15/BDNF/COR8/CNGA1/GABRE/GABRQ/IMPG1/VIP/PRPH2/SNAP25/ARC/CALB1/CHD7/FAM65B/EGFR/GJB6/CNGA3/GABRB3/CRYAA/IMPG2/NTF3",56
"GO:0003008","system process","86/736","164/2031",7.26896253773066e-06,0.00260073495305997,0.00219891124219356,"OPN1LW/CHRNA6/NTRK2/ANKRD52/MIP/THRA/KCNH6/ACE/CRHR1/OPN1MSW/NGF/GUCA1A/GUCA1B/CACNA1S/LHFPL5/CHRNB2/TECTA/OPNP/ADORA2B/SOX9/TBX3/CRYBB2/CRYBB3/MYL2/MYH11/ANXA6/GABRA6/GABRA1/GABRG2/TLX3/HBEGF/RHO/ARL6IP5/TNNC1/RGS9BP/SLC24A1/RLBP1/CHRNA7/CHRNA3/CHRNB4/B2M/CHRND/AGTR1/SOX14/RPE65/PTGS2/MYLK/INHBB/CRYBA2/CHRNA1/PDE6C/PCDH15/BMP4/MYBPC3/BDNF/COR8/CNGA1/HOPX/GABRE/GABRQ/IMPG1/VIP/CHRM3/VEGFA/PRPH2/SNAP25/ARC/CALB1/CHD7/FAM65B/BCL2/EGFR/INHBA/GJB6/CNGA3/GABRB3/DMD/CRYAA/IMPG2/CASQ2/NTF3/CALD1/CACNA1C/CHRM2/NTS/GATA3",86
"GO:0007399","nervous system development","122/736","249/2031",7.28497185731083e-06,0.00260073495305997,0.00219891124219356,"HAPLN1/NRG1/NTRK2/VLDLR/FST/BSG/RARA/IGF2BP1/NGF/MOV10/MPZ/NTRK1/DPF1/THY1/GFRA2/WNT4/EPHB2/DRAXIN/AGRN/CEBPB/SDK2/SOX9/NTN1/LHX3/OLFM1/BRINP1/SDK1/GABRA1/GABRG2/TENM2/TLX3/HBEGF/FOXP1/HESX1/MEF2A/NTRK3/ACAN/TCF12/ALDH1A2/CHRNA3/ISL2/B2M/SOX2/EPHB3/ZIC1/EPHA4/SOX14/LRP8/LHX9/GBX2/FN1/GFRA1/FGF8/LDB1/ZFYVE27/VCL/ATOH7/GPRIN2/ARF6/FOS/FOXG1/CNTF/BDNF/GFRA4/LDB2/UNC5C/EPHA5/TENM1/SOX3/PLP1/FZD3/SOX11/MARCKS/FABP7/SGK1/QKI/PRPH2/SNAP25/FLRT3/PTK2/FZD6/CHD7/PLAG1/CDH2/CDH7/IRX4/BCL2/DTNBP1/CCK/POMGNT2/TRIM71/RARB/IGF2BP3/FAM126A/SCIN/DLX5/ITGA8/ZEB1/NRP1/SHH/ACVR2B/CSPG5/WNT11/RB1/DCT/GABRB3/ANOS1/DMD/EFHC2/ALCAM/NTF3/WNT7B/IGF1/SOX10/NELL2/CNTN1/RELN/SEMA3C/PCLO/SEMA3E/GATA3/SMO",122
"GO:0007267","cell-cell signaling","87/736","170/2031",2.27547087646681e-05,0.00607118299119154,0.00513316149999757,"CHRNA6/SYK/NTRK2/ANXA1/SLC24A2/DEPDC1B/FST/ACE/CRHR1/FZD2/NGF/CHRNB2/WNT4/DRAXIN/AGRN/KBP/ADORA2B/FZD9/SOX9/STXBP1/TBX5/TBX3/AACS/FZD10/GABRA6/GABRA1/GABRG2/BRD7/CALB2/SLC24A1/CHRNA7/CHRNA3/CHRNB4/CSNK1G1/SELENOT/CHRND/WLS/PLA2G4A/INHBB/GCG/CHRNA1/FZD7/FRZB/ITGAV/FGF8/LDB1/BMP4/GREM1/CHRM4/RAPSN/DKK3/BDNF/CPZ/FGFBP2/GABRE/GABRQ/FZD3/SOX11/GJA1/VIP/CHRM3/SNAP25/MAFA/ARC/FZD6/CALB1/CHD7/CDH2/APCDD1/DTNBP1/INHBA/SOSTDC1/DLX5/SHH/ACVR2B/WNT11/GJA3/GJB6/GABRB3/DMD/GJA8/NTF3/WNT7B/CHRM2/IGF1/SYT1/GATA3",87
"GO:0099536","synaptic signaling","36/736","57/2031",2.55091722318972e-05,0.00607118299119154,0.00513316149999757,"CHRNA6/NTRK2/SLC24A2/ACE/NGF/CHRNB2/AGRN/KBP/ADORA2B/STXBP1/GABRA6/GABRA1/GABRG2/CALB2/SLC24A1/CHRNA7/CHRNA3/CHRNB4/CHRND/CHRNA1/CHRM4/RAPSN/BDNF/GABRE/GABRQ/CHRM3/SNAP25/ARC/CALB1/CDH2/DTNBP1/GABRB3/DMD/NTF3/CHRM2/SYT1",36
"GO:0098609","cell-cell adhesion","43/736","72/2031",3.12837779600854e-05,0.00638189070385741,0.00539586365717562,"SYK/ANXA1/MPZ/NCAM1/THY1/AGRN/CEBPB/CDH4/SDK2/SOX9/NTN1/SDK1/TENM2/CDH3/CDH13/PRTG/B2M/EPHB3/TFRC/LPP/CYR61/ITGA6/ITGAV/VCL/PCDH15/CDHR1/IGF2/TENM1/BVES/FLRT3/CDH2/CDH7/FAM65B/CDH10/CDH6/CDH20/BCL2/ITGA8/ALCAM/CNTN1/CAV1/GATA3/PODXL",43
"GO:0048731","system development","185/736","414/2031",4.54494785921831e-05,0.007564710453568,0.0063959331344851,"ALDOB/HAPLN1/NRG1/SYK/NTRK2/VLDLR/FST/COL2A1/MIP/ACHE/BSG/RARA/THRA/IGF2BP1/PHOSPHO1/ACE/NGF/MOV10/MPZ/NTRK1/DPF1/CRYAB/THY1/ETS1/BGLAP/FGR/GFRA2/WNT4/EPHB2/DRAXIN/AGRN/CEBPB/SDK2/SOX9/NOG/NTN1/LHX3/OLFM1/BRINP1/TBX5/TBX3/CRYBB2/CRYBB3/MYL2/MYH11/SDK1/LFNG/PMS2/FGF1/ANXA6/GABRA1/GABRG2/TENM2/TLX3/HBEGF/FOXP1/GATA2/HESX1/OGN/CDH13/MEF2A/NTRK3/ACAN/TCF12/ALDH1A2/CHRNA7/CHRNA3/ISL2/B2M/RBPMS2/SOX2/EPHB3/TFRC/BCL6/AGTR1/ZIC1/EPHA4/SOX14/LRP8/CYR61/LHX9/RIF1/CRYBA2/SP3/GBX2/FN1/FRZB/ITGAV/GFRA1/FGF8/LDB1/ZFYVE27/VCL/ATOH7/RSFR/GPRIN2/BMP4/ARF6/NRXN3/FOS/FOXG1/GREM1/FGF3/CNTF/BDNF/GFRA4/LDB2/UNC5C/BMPR1B/EPHA5/HOPX/NPY2R/TENM1/SOX3/PLP1/FZD3/MBOAT2/SOX11/BVES/MARCKS/GJA1/FABP7/SGK1/QKI/THBS2/VEGFA/FOSL2/PRPH2/SNAP25/BFSP1/NRXN1/FLRT3/PTK2/FZD6/CHD7/PLAG1/CDH2/CDH7/IRX4/BCL2/DTNBP1/INHBA/CCK/POMGNT2/TRIM71/RARB/IGF2BP3/FAM126A/HDAC9/SCIN/DLX5/ITGA8/ZEB1/NRP1/SHH/ACVR2B/CSPG5/WNT11/FLT1/RB1/DCT/GABRB3/ANOS1/SAT1/DMD/EFHC2/CRYAA/MYH15/ALCAM/COL8A1/NTF3/WNT7B/CALD1/IGF1/MYH9/SOX10/MDM1/NELL2/CNTN1/RELN/SEMA3C/PCLO/SEMA3E/GATA3/SMO",185
"GO:0006260","DNA replication","26/736","38/2031",4.76767465561008e-05,0.007564710453568,0.0063959331344851,"RMI1/NFIX/CHAF1A/NFIC/TOP2A/RBBP4/PCNA/CENPS/RPA1/RFC2/BLM/MCMBP/DNA2/POLE2/SSRP1/RAD51/FEN1/PDS5A/MCM3/MMS22L/DTL/MSH6/POLD3/MRE11/RBBP7/CHAF1B",26
"GO:0007275","multicellular organism development","209/736","478/2031",6.96217045406986e-05,0.00994197940841175,0.0084059047482296,"ALDOB/HAPLN1/NRG1/SYK/NTRK2/ANXA1/VLDLR/FST/VDR/COL2A1/MIP/ACHE/BSG/RARA/THRA/IGF2BP1/PHOSPHO1/ACE/NGF/MOV10/TEAD3/MPZ/NTRK1/DPF1/CRYAB/THY1/ETS1/BGLAP/FGR/GFRA2/WNT4/EPHB2/DRAXIN/AGRN/CEBPB/CDH4/SDK2/SOX9/NOG/NTN1/LHX3/OLFM1/BRINP1/TBX5/TBX3/TESC/CRYBB2/CRYBB3/MYL2/MYH11/SDK1/LFNG/PMS2/FGF1/ANXA6/GABRA1/GABRG2/TENM2/TLX3/HBEGF/FOXP1/GATA2/HESX1/OGN/CDH3/CDH13/MEF2A/NTRK3/ACAN/TCF12/ALDH1A2/CHRNA7/CHRNA3/ISL2/B2M/RBPMS2/SOX2/EPHB3/TFRC/BCL6/AGTR1/ZIC1/EPHA4/SOX14/LRP8/CYR61/LHX9/RIF1/ACVR2A/INHBB/CRYBA2/SP3/GBX2/FN1/FRZB/ITGAV/MSTN/GFRA1/FGF8/LDB1/ZFYVE27/ANKRD1/VCL/ATOH7/RSFR/GPRIN2/BMP4/ARF6/NRXN3/FOS/FOXG1/GREM1/CAPN3/FGF3/CNTF/BDNF/GFRA4/FGFR3/LDB2/UNC5C/BMPR1B/EPHA5/DUSP4/HOPX/TLL1/NPY2R/TENM1/SOX3/PLP1/FZD3/MBOAT2/SOX11/COL12A1/BVES/MARCKS/GJA1/FABP7/SGK1/QKI/THBS2/VEGFA/FOSL2/PRPH2/SNAP25/BFSP1/NRXN1/FLRT3/PTK2/SCX/FZD6/CHD7/PLAG1/CDH2/CDH7/IRX4/CDH10/CDH6/CDH20/BCL2/DTNBP1/GLI3/INHBA/CCK/POMGNT2/TRIM71/RARB/IGF2BP3/FAM126A/SP8/HDAC9/SCIN/DLX5/ITGA8/ZEB1/NRP1/SHH/ACVR2B/CSPG5/WNT11/FLT1/RB1/DCT/SOX21/GABRB3/ANOS1/SAT1/DMD/EFHC2/CRYAA/MYH15/ALCAM/COL8A1/TEAD4/NTF3/WNT7B/CALD1/IGF1/MYH9/SOX10/MDM1/NELL2/CNTN1/RELN/SEMA3C/PCLO/SEMA3E/GATA3/PODXL/SMO",209
