"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","gated channel activity","32/689","46/1875",4.86192151593556e-06,0.000734150148906269,0.000665315575864866,"CHRNA6/NTRK2/KCNH6/KCNA10/CACNA1S/CHRNB2/KBP/KCNJ2/KCNT1/CACNA1B/KCNJ12/ANXA6/GABRA6/GABRA1/GABRG2/TMC3/CHRNA7/CHRNA3/CHRNB4/KCNAB1/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/GABRE/GABRQ/SNAP25/KCNG2/CNGA3/GABRB3/CACNA1C",32
"GO:0022839","monoatomic ion gated channel activity","32/689","46/1875",4.86192151593556e-06,0.000734150148906269,0.000665315575864866,"CHRNA6/NTRK2/KCNH6/KCNA10/CACNA1S/CHRNB2/KBP/KCNJ2/KCNT1/CACNA1B/KCNJ12/ANXA6/GABRA6/GABRA1/GABRG2/TMC3/CHRNA7/CHRNA3/CHRNB4/KCNAB1/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/GABRE/GABRQ/SNAP25/KCNG2/CNGA3/GABRB3/CACNA1C",32
"GO:0015267","channel activity","41/689","66/1875",1.80137296423341e-05,0.00136003658799622,0.00123251834394917,"CHRNA6/NTRK2/SLC24A2/MIP/KCNH6/KCNA10/CACNA1S/CHRNB2/KBP/KCNJ2/KCNT1/CACNA1B/KCNJ12/ANXA6/GABRA6/GABRA1/GABRG2/SLC24A1/TMC3/CHRNA7/CHRNA3/CHRNB4/KCNAB1/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/GABRE/GABRQ/GJA1/SNAP25/BCL2/KCNG2/GJA3/GJB6/CNGA3/GABRB3/GJA8/ATP6V1A/CACNA1C",41
"GO:0022803","passive transmembrane transporter activity","41/689","66/1875",1.80137296423341e-05,0.00136003658799622,0.00123251834394917,"CHRNA6/NTRK2/SLC24A2/MIP/KCNH6/KCNA10/CACNA1S/CHRNB2/KBP/KCNJ2/KCNT1/CACNA1B/KCNJ12/ANXA6/GABRA6/GABRA1/GABRG2/SLC24A1/TMC3/CHRNA7/CHRNA3/CHRNB4/KCNAB1/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/GABRE/GABRQ/GJA1/SNAP25/BCL2/KCNG2/GJA3/GJB6/CNGA3/GABRB3/GJA8/ATP6V1A/CACNA1C",41
"GO:0004888","transmembrane signaling receptor activity","60/689","108/1875",3.22530040615204e-05,0.00194808144531583,0.00176542759073585,"OPN1LW/CHRNA6/PTCH1/NTRK2/CNTFR/CRHR1/FZD2/OPN1MSW/ADORA1/CHRNB2/NTRK1/GFRA2/EPHB2/KBP/OPNP/ADORA2B/FZD9/FZD10/GABRA6/GABRA1/GABRG2/RHO/NTRK3/CHRNA7/CHRNA3/CHRNB4/GPR149/EPHB3/CHRND/AGTR1/EPHA4/ACVR2A/CHRNA1/FZD7/CHRM4/COR8/GFRA4/FGFR3/MTNR1A/UNC5C/BMPR1B/EPHA5/NPY2R/TLR2A/GABRE/GABRQ/FZD3/CHRM3/FZD6/EGFR/NRP1/LMBR1/ACVR2B/P2RY6/MTNR1B/FLT1/LPAR6/GABRB3/CHRM2/SMO",60
"GO:0038023","signaling receptor activity","68/689","128/1875",6.7039520067162e-05,0.00289227643718328,0.00262109401766348,"OPN1LW/CHRNA6/PTCH1/NTRK2/CNTFR/VDR/RARA/THRA/CRHR1/FZD2/OPN1MSW/ADORA1/CHRNB2/NTRK1/GFRA2/EPHB2/KBP/OPNP/ADORA2B/FZD9/FZD10/GABRA6/GABRA1/GABRG2/RHO/RGMA/NTRK3/CHRNA7/CHRNA3/CHRNB4/GPR149/EPHB3/CHRND/AGTR1/EPHA4/ACVR2A/CHRNA1/FZD7/GFRA1/CHRM4/COR8/GFRA4/FGFR3/MTNR1A/UNC5C/BMPR1B/EPHA5/NPY2R/TLR2A/GABRE/GABRQ/FZD3/NR2E1/CHRM3/FZD6/COLEC12/EGFR/RARB/NRP1/LMBR1/ACVR2B/P2RY6/MTNR1B/FLT1/LPAR6/GABRB3/CHRM2/SMO",68
"GO:0060089","molecular transducer activity","68/689","128/1875",6.7039520067162e-05,0.00289227643718328,0.00262109401766348,"OPN1LW/CHRNA6/PTCH1/NTRK2/CNTFR/VDR/RARA/THRA/CRHR1/FZD2/OPN1MSW/ADORA1/CHRNB2/NTRK1/GFRA2/EPHB2/KBP/OPNP/ADORA2B/FZD9/FZD10/GABRA6/GABRA1/GABRG2/RHO/RGMA/NTRK3/CHRNA7/CHRNA3/CHRNB4/GPR149/EPHB3/CHRND/AGTR1/EPHA4/ACVR2A/CHRNA1/FZD7/GFRA1/CHRM4/COR8/GFRA4/FGFR3/MTNR1A/UNC5C/BMPR1B/EPHA5/NPY2R/TLR2A/GABRE/GABRQ/FZD3/NR2E1/CHRM3/FZD6/COLEC12/EGFR/RARB/NRP1/LMBR1/ACVR2B/P2RY6/MTNR1B/FLT1/LPAR6/GABRB3/CHRM2/SMO",68
"GO:0005216","monoatomic ion channel activity","35/689","58/1875",0.000177327906875977,0.00600615086807678,0.00544300880341569,"CHRNA6/NTRK2/SLC24A2/KCNH6/KCNA10/CACNA1S/CHRNB2/KBP/KCNJ2/KCNT1/CACNA1B/KCNJ12/ANXA6/GABRA6/GABRA1/GABRG2/SLC24A1/TMC3/CHRNA7/CHRNA3/CHRNB4/KCNAB1/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/GABRE/GABRQ/SNAP25/KCNG2/CNGA3/GABRB3/ATP6V1A/CACNA1C",35
"GO:0015276","ligand-gated monoatomic ion channel activity","21/689","30/1875",0.000198879167817112,0.00600615086807678,0.00544300880341569,"CHRNA6/KCNH6/CHRNB2/KBP/KCNJ2/KCNJ12/ANXA6/GABRA6/GABRA1/GABRG2/CHRNA7/CHRNA3/CHRNB4/CHRND/KCNJ3/CHRNA1/CNGA1/GABRE/GABRQ/CNGA3/GABRB3",21
"GO:0022834","ligand-gated channel activity","21/689","30/1875",0.000198879167817112,0.00600615086807678,0.00544300880341569,"CHRNA6/KCNH6/CHRNB2/KBP/KCNJ2/KCNJ12/ANXA6/GABRA6/GABRA1/GABRG2/CHRNA7/CHRNA3/CHRNB4/CHRND/KCNJ3/CHRNA1/CNGA1/GABRE/GABRQ/CNGA3/GABRB3",21
