"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043005","neuron projection","104/834","163/2104",7.66623951507165e-11,1.91655987876791e-08,1.63008461267839e-08,"OPN2SW/OPN1LW/VCAN/CHRNA6/NTRK2/ALDH1A1/ABHD17B/BSG/IGF2BP1/CRHR1/OPN1MSW/NGF/RHOC/GUCA1A/GUCA1B/NFASC/ADORA1/NTRK1/THY1/HSPA8/STMN1/NEFM/GNRH1/AGRN/KBP/MYO1C/OLFM1/BRINP1/CACNA1B/RACK1/ACTB/DBN1/GABRA6/GABRA1/GABRG2/TENM2/RHO/RGS9BP/CALB2/NTRK3/CHRNA7/CHRNA3/CHRNB4/GPR149/KCNAB1/EPHB3/EPHA4/EPHB1/PTGS2/CHRNA1/ZFYVE27/AP3M1/ATOH7/PCDH15/CHAT/GPHN/CNTF/TPH1/BDNF/CNGA1/UNC5C/CAMK2D/EPHA5/TENM1/GABRE/GABRQ/MPP1/IMPG1/EPHA7/RGS17/VIP/PRPH2/CAPN2/SNAP25/PSEN2/FLRT3/ARC/PTK2/CALB1/KLHL14/CDH2/MBP/FAM65B/BLOC1S5/DTNBP1/AMPH/CCK/NRP1/CHDSD/CHRNA10/FZD4/GABRB3/ALCAM/GAP43/NTF3/CACNA1C/CHRM2/SYT1/CNTN1/RELN/PCLO/SEMA3A/SMO/OPN1SW",104
"GO:0120025","plasma membrane bounded cell projection","132/834","225/2104",8.28790029680868e-10,1.03598753710108e-07,8.81134663134397e-08,"OPN2SW/OPN1LW/VCAN/CHRNA6/NTRK2/ANXA1/ALDH1A1/ABHD17B/BSG/IGF2BP1/CRHR1/OPN1MSW/NGF/RHOC/GUCA1A/GUCA1B/NFASC/ADORA1/S100A6/NTRK1/THY1/HSPA8/STMN1/FGR/NEFM/GNRH1/AGRN/KBP/MAPRE1/MYO1C/NME2/OLFM1/ODF2/BRINP1/CACNA1B/RACK1/TESC/CLIP1/ACTB/DBN1/GABRA6/GABRA1/GABRG2/TENM2/RHO/WWOX/RGS9BP/CALB2/ARL2BP/NTRK3/CHRNA7/CHRNA3/CHRNB4/GPR149/KCNAB1/EPHB3/EPHA4/EPHB1/PTGS2/MYLK/GLI2/VIL1/CHRNA1/ZFYVE27/ACTA2/AP3M1/ATOH7/PCDH15/CHAT/ARF6/GPHN/CNTF/TPH1/SWAP70/BDNF/CNGA1/PDLIM3/UNC5C/CAMK2D/EPHA5/NPY2R/TENM1/GABRE/GABRQ/ARHGEF6/MPP1/EEF1A1/MYO6/IMPG1/EPHA7/RGS17/VIP/ACTN2/PRPH2/CAPN2/SNAP25/PSEN2/FLRT3/ARC/PTK2/CALB1/KLHL14/CDH2/MBP/FAM65B/BLOC1S5/DTNBP1/AMPH/CCK/ITGB1/NRP1/CHDSD/CHRNA10/FZD4/GABRB3/RP2/DMD/EFHC2/ALCAM/GAP43/NTF3/CACNA1C/CHRM2/KITLG/SYT1/CNTN1/RELN/PCLO/SEMA3A/PODXL/SMO/OPN1SW",132
"GO:0042995","cell projection","137/834","238/2104",2.28540875900676e-09,1.9045072991723e-07,1.61983357655918e-07,"OPN2SW/OPN1LW/VCAN/CHRNA6/NTRK2/ANXA1/ALDH1A1/ABHD17B/SH3GL2/BSG/IGF2BP1/CRHR1/OPN1MSW/NGF/RHOC/GUCA1A/GUCA1B/NFASC/ADORA1/S100A6/NTRK1/THY1/HSPA8/STMN1/FGR/NEFM/GNRH1/AGRN/KBP/MAPRE1/MYO1C/NME2/OLFM1/ODF2/BRINP1/CACNA1B/RACK1/TESC/CLIP1/ACTB/DBN1/GABRA6/GABRA1/GABRG2/TENM2/RHO/WWOX/RGS9BP/CALB2/ARL2BP/NTRK3/CHRNA7/CHRNA3/CHRNB4/GPR149/KCNAB1/EPHB3/EPHA4/EPHB1/PTGS2/MYLK/GLI2/VIL1/CHRNA1/ZFYVE27/ACTA2/VCL/AP3M1/ATOH7/PCDH15/CHAT/ARF6/GPHN/CNTF/TPH1/SWAP70/BDNF/CNGA1/PDLIM3/UNC5C/CAMK2D/EPHA5/NPY2R/TENM1/GABRE/GABRQ/ARHGEF6/MPP1/EEF1A1/MYO6/IMPG1/EPHA7/RGS17/VIP/ACTN2/PRPH2/CAPN2/SNAP25/PSEN2/FLRT3/ARC/PTK2/CALB1/KLHL14/CDH2/MBP/FAM65B/BLOC1S5/DTNBP1/AMPH/CCK/SCIN/ITGB1/NRP1/CHDSD/CHRNA10/FZD4/GABRB3/RP2/DMD/EFHC2/ALCAM/IMPG2/GAP43/SLC2A14/NTF3/CACNA1C/CHRM2/KITLG/SYT1/CNTN1/RELN/PCLO/SEMA3A/PODXL/SMO/OPN1SW",137
"GO:0005886","plasma membrane","233/834","455/2104",1.06520253352305e-08,6.65751583451907e-07,5.66239241504359e-07,"OPN1LW/NRG1/CHRNA6/SYK/CFC1/PTCH1/NTRK2/ANXA1/ABHD17B/SLC24A2/VLDLR/PRLR/CNTFR/VDR/MIP/SLC48A1/BIN2/ACHE/OCLN/BSG/ATP6V0A1/SLC4A1/ACE/CRHR1/FZD2/MAGI3/RHOC/NFASC/KCNA10/ADORA1/LHFPL5/MPZ/S100A6/NTRK1/CRYAB/THY1/SORL1/HSPA8/OPCML/NTM/PTPRU/FGR/GFRA2/PRNP/ALPL/RAP1GAP2/AGRN/MXRA8/KBP/MAPRE1/CDH4/ADA/ADORA2B/TLCD1/MYO1C/FZD9/SDK2/KCNJ2/NME2/PIK3R5/KCNT1/STXBP1/CACNA1B/ENTPD2/BF2/RACK1/TESC/HVCN1/FZD10/RIMBP2/NUDT16L1/KCNJ12/ACTB/SDK1/ANXA6/DBN1/GABRA6/GABRA1/GABRG2/TENM2/HBEGF/RHO/ARL6IP5/CACNA1D/CDH3/CDH13/WWOX/ANPEP/SLC24A1/RGMA/NTRK3/TMC3/CHRNA7/CHRNA3/CHRNB4/B2M/CSNK1G1/GPR149/KCNAB1/EPHB3/AP2M1/TFRC/ATP1B3/EPHA4/TF/EPHB1/NEGR1/RPE65/LRP8/RALGPS2/KCNJ3/MYLK/SLC11A1/GCG/ITGA6/CHRNA1/FZD7/FGFR2/GFRA1/TECTB/ZFYVE27/PDE6C/VCL/KCNMA1/SLC16A9/PCDH15/CDHR1/GPRIN2/ARF6/HSPA2/CKB/DIO3/GPHN/RAPSN/HRAS/SWAP70/COR8/GFRA4/FGFR3/AFAP1/RELL1/CNGA1/MTNR1A/UNC5C/BMPR1B/EPHA5/NPY2R/TLR2A/GPR50/LAMP2/TENM1/MAGT1/GABRE/GABRQ/MPP1/PLP1/EFNB1/FZD3/ADI1/EEF1A1/MYO6/EPHA7/BVES/MARCKS/GJA1/ACTN2/CRIM1/CAPN11/HSP90AB1/CAPN2/SNAP25/PSEN2/BFSP1/EPCAM/FLRT3/LY6E/ARC/PTK2/FZD6/CALB1/ATP6V0D2/CA2/CDH2/APCDD1/CDH7/MBP/FAM65B/CDH10/CDH6/CDH20/DTNBP1/KCNG2/EGFR/AMPH/ITGA8/MASTL/ITGB1/NRP1/SHH/ACVR2B/CSPG5/CHRNA10/P2RY6/FZD4/MTNR1B/CNTN5/PGR/GJA3/GJB6/FLT1/LPAR6/ITM2B/CNGA3/GABRB3/RP2/DMD/GJA8/ALCAM/ATP1B1/GAP43/LSAMP/PHB2/SLC2A14/CACNA1C/CHRM2/ATP2B1/KITLG/SYT1/CNTN1/TES/CAV1/PODXL/SMO",233
"GO:0045202","synapse","76/834","125/2104",6.84697002007013e-07,3.42348501003507e-05,2.91176409274562e-05,"VCAN/HAPLN1/CHRNA6/NTRK2/ALDH1A1/ABHD17B/SH3GL2/ACHE/ATP6V0A1/NGF/MAGI3/ADORA1/HSPA8/NEFM/AGRN/KBP/ADORA2B/SDK2/OLFM1/STXBP1/CACNA1B/RIMBP2/ACTB/SDK1/DBN1/GABRA6/GABRA1/GABRG2/TENM2/ARL6IP5/RPL13/CALB2/ACAN/SH3GL3/CHRNA7/CHRNA3/CHRNB4/CHRNA1/VCL/KCNMA1/PCDH15/CHAT/GPHN/RAPSN/HRAS/BDNF/RAD51/UNC5C/GABRE/GABRQ/RGS17/SNAP25/PSEN2/FLRT3/ARC/PTK2/CALB1/CDH2/CDH10/CDH6/PHACTR1/DTNBP1/AMPH/NRP1/CSPG5/CHRNA10/FZD4/GABRB3/DMD/GAP43/NTF3/CACNA1C/CHRM2/SYT1/PCLO/SEMA3A",76
"GO:0030054","cell junction","105/834","188/2104",1.83681270618244e-06,7.65338627576017e-05,6.50940643243602e-05,"VCAN/HAPLN1/CHRNA6/NTRK2/ALDH1A1/ABHD17B/SH3GL2/MIP/ACHE/OCLN/ATP6V0A1/NGF/MAGI3/ADORA1/CSRP1/HSPA8/PTPRU/NEFM/AGRN/KBP/MAPRE1/CDH4/ADA/ADORA2B/SDK2/OLFM1/STXBP1/CACNA1B/SPECC1L/RIMBP2/NUDT16L1/ACTB/SDK1/ANXA6/DBN1/GABRA6/GABRA1/GABRG2/TENM2/ARL6IP5/CDH3/RPL13/CDH13/CALB2/ACAN/SH3GL3/CHRNA7/CHRNA3/CHRNB4/TNS1/CHRNA1/VCL/KCNMA1/PCDH15/CHAT/GPHN/RAPSN/HRAS/BDNF/RAD51/PDLIM3/UNC5C/GABRE/GABRQ/MPP1/BVES/GJA1/RGS17/ACTN2/SNAP25/PSEN2/EPCAM/FLRT3/ARC/PTK2/CALB1/CDH2/CDH7/CDH10/CDH6/CDH20/PHACTR1/DTNBP1/AMPH/SCIN/ITGB1/NRP1/CSPG5/CHRNA10/FZD4/YAP1/GJA3/GJB6/GABRB3/DMD/GJA8/GAP43/NTF3/CACNA1C/CHRM2/SYT1/TES/CAV1/PCLO/SEMA3A",105
"GO:0030425","dendrite","40/834","59/2104",8.61748535098336e-06,0.00026929641721823,0.000229043689591926,"NTRK2/ABHD17B/NGF/ADORA1/THY1/HSPA8/KBP/BRINP1/RACK1/DBN1/GABRA6/GABRA1/GABRG2/TENM2/CALB2/CHRNA7/EPHB3/EPHA4/EPHB1/ZFYVE27/GPHN/BDNF/UNC5C/EPHA5/GABRE/EPHA7/CAPN2/PSEN2/ARC/PTK2/CALB1/DTNBP1/CHDSD/FZD4/ALCAM/NTF3/CACNA1C/CHRM2/RELN/SMO",40
"GO:0097447","dendritic tree","40/834","59/2104",8.61748535098336e-06,0.00026929641721823,0.000229043689591926,"NTRK2/ABHD17B/NGF/ADORA1/THY1/HSPA8/KBP/BRINP1/RACK1/DBN1/GABRA6/GABRA1/GABRG2/TENM2/CALB2/CHRNA7/EPHB3/EPHA4/EPHB1/ZFYVE27/GPHN/BDNF/UNC5C/EPHA5/GABRE/EPHA7/CAPN2/PSEN2/ARC/PTK2/CALB1/DTNBP1/CHDSD/FZD4/ALCAM/NTF3/CACNA1C/CHRM2/RELN/SMO",40
"GO:0036477","somatodendritic compartment","50/834","79/2104",1.28716253490226e-05,0.00035754514858396,0.000304101557953515,"NTRK2/ABHD17B/NGF/ADORA1/THY1/HSPA8/GNRH1/KBP/OLFM1/BRINP1/RACK1/DBN1/GABRA6/GABRA1/GABRG2/TENM2/CALB2/SLC24A1/CHRNA7/SERPINI1/EPHB3/EPHA4/EPHB1/ZFYVE27/ATOH7/HSPA2/GPHN/BDNF/UNC5C/EPHA5/GABRE/EPHA7/CAPN2/SNAP25/PSEN2/ARC/PTK2/CALB1/KLHL14/MBP/DTNBP1/CHDSD/FZD4/ALCAM/SLC2A14/NTF3/CACNA1C/CHRM2/RELN/SMO",50
"GO:0000793","condensed chromosome","23/834","30/2104",3.69117074824945e-05,0.000922792687062363,0.000784859464364621,"SMC2/SMC5/CENPH/CENPK/TOP2A/CHEK1/CENPS/CEBPB/MIS12/CENPA/NDE1/CENPT/ITGB3BP/CENPL/NUF2/INCENP/RAD51/HMGB2/CENPI/CENPO/CENPW/HSF1/NDC80",23
