"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048731","system development","251/909","414/2031",2.73916406198694e-13,2.1206460868331e-10,1.72386086946489e-10,"MUSK/ALDOB/VCAN/HAPLN1/RBP4/EFNA5/NREP/SYK/KIF2A/FST/ISL1/COL2A1/NEUROD4/TGFB1/TGM2/ACHE/EFNA2/STK11/PALM/BSG/IGF2BP1/PHOSPHO1/COL1A1/ACE/MOV10/WNT2B/CNTN2/NFASC/MPZ/NTRK1/DPF1/CRYAB/APOA1/THY1/ETS1/STMN1/PHACTR4/FGR/SDC3/GFRA2/LOXL2/DPYSL2/P3H1/WNT4/EPHB2/DISP3/DRAXIN/AGRN/CEBPB/STMN3/SRC/PAFAH1B1/LHX1/SDK2/NOG/JMJD6/NTN1/LMX1B/GSN/LHX3/OLFM1/NCS1/BRINP1/TUBB4B/EXFABP/TBX5/TBX3/CRYBA4/CRYBB2/MYL2/NTN3/MYH11/SOX8/LFNG/FGF1/PDLIM4/PDLIM7/GABRA1/GABRG2/TENM2/HBEGF/FOXP1/GATA2/HESX1/OGN/MUSTN1/CDH1/TUBB3/RPL13/CDH13/WWOX/CDH5/MMP2/TCF12/ALDH1A2/CHRNA7/ANXA2/CHRNA3/ISL2/ACTG1/B2M/RBPMS2/SOX2/EPHB3/AGTR1/ZIC1/EPHA4/SOX14/LRP8/CYR61/PRRX1/LHX9/RIF1/EN1/CRYBA2/NEUROD1/GBX2/FN1/FRZB/HMX3/VAX1/FGF8/VCL/KIF1BP/ATOH7/RSFR/RNASE6/GPRIN2/BMP4/ARF6/SIX6/NRXN3/TGFB3/FOS/GREM1/DPF3/FGF3/CNTF/BDNF/GFRA4/CTNNA2/MSX1/LDB2/PDGFRA/KIT/PDLIM3/UNC5C/BMPR1B/CASP6/PITX2/FGF2/EPHA5/HOPX/HPSE/EPGN/TENM1/SOX3/PLP1/FZD3/MBOAT2/EPHA7/BVES/POPDC3/FYN/GJA1/FABP7/SGK1/TXLNB/THBS2/MDGA1/FOSL2/SIX3/PRPH2/PROX1/TGFB2/VSX1/SNAP25/BFSP1/LHCGR/NRXN1/PTK2/HAS2/FZD6/STMN2/BHLHE22/CHD7/PLAG1/CDH2/ADCYAP1/CDH7/MBP/IRX4/BASP1/DTNBP1/CCK/POMGNT2/TGFBR2/FAM126A/HDAC9/SCIN/DLX5/ITGA8/SHH/ACVR2B/WDR48/WNT9A/WNT3A/CSPG5/ILK/MAP6/GDPD5/WNT11/TSKU/FZD4/PGR/FLT1/MAB21L1/DCT/FARP1/GABRB3/ANOS1/SAT1/DMD/EFHC2/CRYAA/OLIG2/GJA5/MYH15/COL8A1/GAP43/PTHLH/WNT7B/CALD1/PTN/IGF1/MB/MYH9/MGP/EPYC/LLPH/NELL2/CNTN1/NRCAM/LAMB1/RELN/SEMA3C/PCLO/SEMA3E/SEMA3A/GATA3/DPF2",251
"GO:0007275","multicellular organism development","283/909","478/2031",2.9721739128705e-13,2.1206460868331e-10,1.72386086946489e-10,"MUSK/ALDOB/VCAN/HAPLN1/RBP4/EFNA5/NREP/SYK/ANXA1/KIF2A/FST/ISL1/VDR/COL2A1/NEUROD4/TGFB1/TGM2/ACHE/EFNA2/STK11/PALM/BSG/IGF2BP1/PHOSPHO1/COL1A1/ACE/MOV10/WNT2B/CNTN2/NFASC/TEAD3/MPZ/NTRK1/DPF1/CRYAB/APOA1/THY1/HSPA8/ETS1/STMN1/PHACTR4/FGR/SDC3/FGFR1/GFRA2/LOXL2/DPYSL2/P3H1/WNT4/EPHB2/DISP3/DRAXIN/NBL1/AGRN/CEBPB/STMN3/CDH4/SRC/MAFB/PAFAH1B1/LHX1/SDK2/NOG/NME2/JMJD6/NTN1/LMX1B/GSN/LHX3/OLFM1/NCS1/BRINP1/TUBB4B/EXFABP/RACK1/TBX5/TBX3/CRYBA4/CRYBB2/MYL2/NTN3/MYH11/SOX8/LFNG/FGF1/PDLIM4/PDLIM7/MSX2/GABRA1/GABRG2/TENM2/HBEGF/FOXP1/GATA2/HESX1/OGN/MUSTN1/CDH1/TUBB3/RPL13/CDH13/WWOX/CDH5/MMP2/TCF12/ALDH1A2/CHRNA7/ANXA2/CHRNA3/ISL2/ACTG1/B2M/RBPMS2/SOX2/EPHB3/AGTR1/ZIC1/EPHA4/SOX14/FOXD3/LRP8/CYR61/DR1/PRRX1/LHX9/RIF1/EN1/INHBB/CRYBA2/NEUROD1/GBX2/FN1/FRZB/MSTN/HMX3/FGFR2/VAX1/FGF8/VCL/KIF1BP/ATOH7/RSFR/RNASE6/GPRIN2/BMP4/ARF6/SIX6/NRXN3/TGFB3/FOS/GREM1/DPF3/FGF3/CNTF/BDNF/GFRA4/CTNNA2/FGFR3/MSX1/LDB2/UGDH/PDGFRA/KIT/PDLIM3/UNC5C/BMPR1B/CASP6/PITX2/FGF2/EPHA5/DUSP4/HOPX/HPSE/EPGN/TENM1/SOX3/PLP1/FZD3/MBOAT2/COL12A1/EPHA7/BVES/POPDC3/SOBP/FYN/GJA1/FABP7/SGK1/TXLNB/THBS2/MDGA1/FOSL2/SIX3/PRPH2/PROX1/TGFB2/VSX1/SNAP25/BFSP1/LHCGR/NRXN1/PAX1/PTK2/MYC/HAS2/SCX/FZD6/STMN2/BHLHE22/CHD7/PLAG1/CDH2/ADCYAP1/CDH7/MBP/IRX4/BASP1/CDH10/CDH6/CDH20/OVAL/DTNBP1/GLI3/CCK/POMGNT2/TGFBR2/FAM126A/HDAC9/SCIN/DLX5/ITGA8/SHH/ACVR2B/WDR48/WNT9A/WNT3A/CSPG5/ILK/MAP6/GDPD5/WNT11/TSKU/FZD4/PGR/FLT1/MAB21L1/DCT/FARP1/GABRB3/ANOS1/SAT1/DMD/EFHC2/CRYAA/OLIG2/GJA5/MYH15/COL8A1/GAP43/TEAD4/PTHLH/WNT7B/CALD1/PTN/IGF1/MB/MYH9/MGP/EPYC/MYF6/LLPH/NELL2/CNTN1/NRCAM/LAMB1/RELN/SEMA3C/PCLO/SEMA3E/SEMA3A/GATA3/PODXL/DPF2",283
"GO:0048513","animal organ development","190/909","302/2031",4.95763976513897e-12,2.35818398161777e-09,1.9169540425204e-09,"MYLPF/ALDOB/LPL/RBP4/EFNA5/FST/ISL1/COL2A1/NEUROD4/KRT7/TGFB1/TGM2/ACHE/PHOSPHO1/COL1A1/ACE/WNT2B/CNTN2/MYOG/TEAD3/CRYAB/IL18/APOA1/THY1/HSPA8/STMN1/PHACTR4/FGR/SDC3/FGFR1/LOXL2/P3H1/WNT4/DRAXIN/NBL1/AGRN/CEBPB/SDC4/SRC/PAFAH1B1/LHX1/SDK2/NOG/NME2/NTN1/LMX1B/LHX3/OLFM1/EXFABP/TBX5/TBX3/CRYBA4/CRYBB2/MYL2/NTN3/MYH11/SOX8/LFNG/FGF1/PDLIM4/PDLIM7/FOXP1/HESX1/OGN/MUSTN1/RPL13/WWOX/CDH5/MMP2/ALDH1A2/ANXA2/B2M/RBPMS2/RARRES1/SOX2/AGTR1/ZIC1/GPC1/LRP8/CYR61/PRRX1/LHX9/INHBB/CRYBA2/DES/NEUROD1/GBX2/FN1/FRZB/MSTN/VAX1/FGF8/ACTA2/GDF2/ATOH7/PCDH15/BMP4/ARF6/SIX6/TGFB3/FOS/GREM1/ACTN1/FGF3/CNTF/HRAS/MYOD1/CTNNA2/MSX1/PDGFRA/KIT/PDLIM3/BMPR1B/CASP6/PITX2/FGF2/HOPX/IBSP/SPP1/SOX3/MBOAT2/EPHA7/BVES/POPDC3/SOBP/FYN/GJA1/FABP7/ACTA1/FOSL2/SIX3/PRPH2/PROX1/TGFB2/BFSP1/LHCGR/PAX1/HAS2/SCX/BHLHE22/CHD7/PLAG1/CDH2/CDH7/FAM65B/IRX4/BASP1/RBM24/TGFBR2/HDAC9/SCIN/DLX5/ITGB1/SHH/WDR48/WNT9A/WNT3A/ILK/WNT11/TSKU/FZD4/PGR/MAB21L1/DCT/TMEM182/DMD/CRYAA/OLIG2/GJA5/MYH15/TEAD4/PTHLH/WNT7B/PTN/IGF1/LARGE1/MB/MGP/EPYC/MYF5/MYF6/NELL2/CNTN1/NRCAM/LAMB1/RELN/SEMA3C/SEMA3E/SEMA3A/GATA3",190
"GO:0007399","nervous system development","159/909","249/2031",7.90408583033748e-11,2.8197826199729e-08,2.29218489079787e-08,"MUSK/VCAN/HAPLN1/EFNA5/NREP/KIF2A/FST/ISL1/NEUROD4/TGFB1/EFNA2/PALM/BSG/IGF2BP1/MOV10/WNT2B/CNTN2/NFASC/MPZ/NTRK1/DPF1/THY1/STMN1/PHACTR4/GFRA2/DPYSL2/WNT4/EPHB2/DISP3/DRAXIN/AGRN/CEBPB/STMN3/PAFAH1B1/LHX1/SDK2/NTN1/LMX1B/GSN/LHX3/OLFM1/NCS1/BRINP1/TUBB4B/NTN3/SOX8/GABRA1/GABRG2/TENM2/HBEGF/FOXP1/HESX1/CDH1/TUBB3/TCF12/ALDH1A2/CHRNA3/ISL2/ACTG1/B2M/SOX2/EPHB3/ZIC1/EPHA4/SOX14/LRP8/PRRX1/LHX9/EN1/NEUROD1/GBX2/FN1/HMX3/VAX1/FGF8/VCL/KIF1BP/ATOH7/GPRIN2/ARF6/TGFB3/FOS/DPF3/CNTF/BDNF/GFRA4/CTNNA2/MSX1/LDB2/UNC5C/FGF2/EPHA5/TENM1/SOX3/PLP1/FZD3/EPHA7/FYN/FABP7/SGK1/TXLNB/MDGA1/SIX3/PRPH2/PROX1/TGFB2/VSX1/SNAP25/PTK2/FZD6/STMN2/BHLHE22/CHD7/PLAG1/CDH2/ADCYAP1/CDH7/MBP/IRX4/DTNBP1/CCK/POMGNT2/FAM126A/SCIN/DLX5/ITGA8/SHH/ACVR2B/WNT9A/WNT3A/CSPG5/ILK/MAP6/GDPD5/WNT11/FZD4/DCT/FARP1/GABRB3/ANOS1/DMD/EFHC2/OLIG2/GAP43/WNT7B/PTN/IGF1/LLPH/NELL2/CNTN1/NRCAM/LAMB1/RELN/SEMA3C/PCLO/SEMA3E/SEMA3A/GATA3/DPF2",159
"GO:0030154","cell differentiation","253/909","439/2031",6.77124104113893e-10,1.61042682761754e-07,1.30910660128686e-07,"MUSK/VCAN/HAPLN1/LPL/RBP4/EFNA5/NREP/SYK/ANXA1/KIF2A/FST/ISL1/VDR/MYL6/NEUROD4/GLI1/KRT7/TGFB1/ACTN4/JUND/EFNA2/PALM/BSG/KRT14/IGF2BP1/ACE/MOV10/WNT2B/CNTN2/NFASC/MYOG/TNNT2/CSRP1/NTRK1/PLEKHO1/CD3E/APOA1/THY1/ETS1/STMN1/PTPRU/PHACTR4/FGR/SDC3/SFRP1/FGFR1/LOXL2/DPYSL2/WNT4/EPHB2/DISP3/DRAXIN/AGRN/MXRA8/CEBPB/TCF15/STMN3/SDC4/SRC/MAFB/MYL9/PAFAH1B1/LHX1/SDK2/NOG/NME2/JMJD6/NTN1/LMX1B/STRBP/LHX3/OLFM1/NCS1/BRINP1/EXFABP/TBX5/TBX3/MYL2/PIWIL1/NTN3/MYH11/SOX8/LFNG/FGF1/LECT2/PDLIM7/TENM2/FOXP1/GATA2/ALAS1/MUSTN1/TUBB3/WWOX/CDH5/MMP2/SMAD3/NR2F2/TCF12/ALDH1A2/ANXA2/ISL2/ACTG1/B2M/RBPMS2/SOX2/EPHB3/AGTR1/ZIC1/EPHA4/SOX14/GPC1/FOXD3/TAL1/CYR61/RXRG/PRRX1/LHX9/EN1/INHBB/NEUROD1/GBX2/FN1/FRZB/MSTN/HMX3/VAX1/FGF8/HHEX/VCL/KIF1BP/ATOH7/RNASE6/GPRIN2/BMP4/ARF6/TGFB3/FOS/GREM1/ACTN1/FGF3/CNTF/TOLLIP/TNNT3/IGF2/MYOD1/BDNF/CTNNA2/MAEA/MSX1/KIT/UNC5C/BMPR1B/CASP6/PITX2/FGF2/EPHA5/HOPX/SPP1/SFRP2/TENM1/CHRDL1/SOX3/PLP1/MBOAT2/COL12A1/EPHA7/BVES/POPDC3/NR2E1/FYN/SGK1/TXLNB/ACTA1/MDGA1/FOSL2/SIX3/PRPH2/PROX1/TGFB2/VSX1/SNAP25/BFSP1/LY6E/PTK2/MYC/HAS2/STMN2/BHLHE22/CHD7/PLAG1/TTR/CDH2/ADCYAP1/CDH7/FAM65B/IRX4/BASP1/SERPINB10B/RBM24/DTNBP1/CCK/POMGNT2/TGFBR2/THRB/HDAC9/SCIN/DLX5/ITGA8/ITGB1/SHH/ACVR2B/WNT9A/WNT3A/CSPG5/ILK/MAP6/GDPD5/WNT11/TSKU/FZD4/PGR/FLT1/DCT/FARP1/TMEM182/ANOS1/DMD/EFHC2/ERG/OLIG2/MYH15/GAP43/FAM46C/PTHLH/WNT7B/IGF1/MB/MYH9/MGP/MYF5/MYF6/SYT1/LLPH/NELL2/CNTN1/NRCAM/CAV1/LAMB1/RELN/SEMA3C/SEMA3E/SEMA3A/GATA3",253
"GO:0048869","cellular developmental process","253/909","439/2031",6.77124104113893e-10,1.61042682761754e-07,1.30910660128686e-07,"MUSK/VCAN/HAPLN1/LPL/RBP4/EFNA5/NREP/SYK/ANXA1/KIF2A/FST/ISL1/VDR/MYL6/NEUROD4/GLI1/KRT7/TGFB1/ACTN4/JUND/EFNA2/PALM/BSG/KRT14/IGF2BP1/ACE/MOV10/WNT2B/CNTN2/NFASC/MYOG/TNNT2/CSRP1/NTRK1/PLEKHO1/CD3E/APOA1/THY1/ETS1/STMN1/PTPRU/PHACTR4/FGR/SDC3/SFRP1/FGFR1/LOXL2/DPYSL2/WNT4/EPHB2/DISP3/DRAXIN/AGRN/MXRA8/CEBPB/TCF15/STMN3/SDC4/SRC/MAFB/MYL9/PAFAH1B1/LHX1/SDK2/NOG/NME2/JMJD6/NTN1/LMX1B/STRBP/LHX3/OLFM1/NCS1/BRINP1/EXFABP/TBX5/TBX3/MYL2/PIWIL1/NTN3/MYH11/SOX8/LFNG/FGF1/LECT2/PDLIM7/TENM2/FOXP1/GATA2/ALAS1/MUSTN1/TUBB3/WWOX/CDH5/MMP2/SMAD3/NR2F2/TCF12/ALDH1A2/ANXA2/ISL2/ACTG1/B2M/RBPMS2/SOX2/EPHB3/AGTR1/ZIC1/EPHA4/SOX14/GPC1/FOXD3/TAL1/CYR61/RXRG/PRRX1/LHX9/EN1/INHBB/NEUROD1/GBX2/FN1/FRZB/MSTN/HMX3/VAX1/FGF8/HHEX/VCL/KIF1BP/ATOH7/RNASE6/GPRIN2/BMP4/ARF6/TGFB3/FOS/GREM1/ACTN1/FGF3/CNTF/TOLLIP/TNNT3/IGF2/MYOD1/BDNF/CTNNA2/MAEA/MSX1/KIT/UNC5C/BMPR1B/CASP6/PITX2/FGF2/EPHA5/HOPX/SPP1/SFRP2/TENM1/CHRDL1/SOX3/PLP1/MBOAT2/COL12A1/EPHA7/BVES/POPDC3/NR2E1/FYN/SGK1/TXLNB/ACTA1/MDGA1/FOSL2/SIX3/PRPH2/PROX1/TGFB2/VSX1/SNAP25/BFSP1/LY6E/PTK2/MYC/HAS2/STMN2/BHLHE22/CHD7/PLAG1/TTR/CDH2/ADCYAP1/CDH7/FAM65B/IRX4/BASP1/SERPINB10B/RBM24/DTNBP1/CCK/POMGNT2/TGFBR2/THRB/HDAC9/SCIN/DLX5/ITGA8/ITGB1/SHH/ACVR2B/WNT9A/WNT3A/CSPG5/ILK/MAP6/GDPD5/WNT11/TSKU/FZD4/PGR/FLT1/DCT/FARP1/TMEM182/ANOS1/DMD/EFHC2/ERG/OLIG2/MYH15/GAP43/FAM46C/PTHLH/WNT7B/IGF1/MB/MYH9/MGP/MYF5/MYF6/SYT1/LLPH/NELL2/CNTN1/NRCAM/CAV1/LAMB1/RELN/SEMA3C/SEMA3E/SEMA3A/GATA3",253
"GO:0061061","muscle structure development","57/909","72/2031",1.32823044355217e-09,2.7076926327842e-07,2.20106759217216e-07,"MYLPF/ISL1/MYL6/ACTN4/MYOG/TNNT2/CSRP1/PLEKHO1/CRYAB/APOA1/WNT4/SDC4/MYL9/NOG/EXFABP/TBX3/MYL2/NTN3/MYH11/PDLIM4/PDLIM7/RBPMS2/GPC1/DES/MSTN/FOS/GREM1/ACTN1/FGF3/CNTF/TNNT3/IGF2/MYOD1/MSX1/KIT/PDLIM3/PITX2/HOPX/BVES/POPDC3/ACTA1/PROX1/TGFB2/CHD7/CDH2/FAM65B/RBM24/HDAC9/ITGB1/WNT3A/WNT11/TMEM182/DMD/MYH15/LARGE1/MYF5/MYF6",57
"GO:0022008","neurogenesis","121/909","185/2031",2.51262253456227e-09,4.48189044602545e-07,3.64330267511529e-07,"MUSK/VCAN/HAPLN1/EFNA5/NREP/FST/ISL1/NEUROD4/TGFB1/EFNA2/PALM/BSG/IGF2BP1/MOV10/WNT2B/CNTN2/NFASC/NTRK1/THY1/STMN1/WNT4/EPHB2/DISP3/DRAXIN/AGRN/CEBPB/STMN3/PAFAH1B1/LHX1/SDK2/NTN1/LMX1B/LHX3/OLFM1/NCS1/BRINP1/NTN3/SOX8/TENM2/FOXP1/TUBB3/TCF12/ALDH1A2/ISL2/ACTG1/B2M/SOX2/EPHB3/EPHA4/SOX14/PRRX1/LHX9/EN1/NEUROD1/GBX2/FN1/VAX1/FGF8/VCL/KIF1BP/ATOH7/GPRIN2/ARF6/CNTF/BDNF/CTNNA2/UNC5C/FGF2/EPHA5/TENM1/SOX3/PLP1/EPHA7/FYN/SGK1/TXLNB/MDGA1/SIX3/PRPH2/TGFB2/VSX1/SNAP25/PTK2/STMN2/BHLHE22/CHD7/PLAG1/CDH2/ADCYAP1/IRX4/DTNBP1/CCK/POMGNT2/DLX5/SHH/WNT9A/WNT3A/ILK/MAP6/GDPD5/WNT11/FZD4/DCT/FARP1/ANOS1/DMD/EFHC2/OLIG2/GAP43/WNT7B/IGF1/LLPH/NELL2/CNTN1/NRCAM/LAMB1/RELN/SEMA3C/SEMA3E/SEMA3A/GATA3",121
"GO:0048699","generation of neurons","116/909","178/2031",7.86659022550589e-09,1.24729158353299e-06,1.01391607350965e-06,"MUSK/VCAN/HAPLN1/EFNA5/NREP/FST/ISL1/NEUROD4/EFNA2/PALM/BSG/IGF2BP1/MOV10/WNT2B/CNTN2/NFASC/NTRK1/THY1/STMN1/WNT4/EPHB2/DISP3/DRAXIN/AGRN/CEBPB/STMN3/PAFAH1B1/LHX1/SDK2/NTN1/LMX1B/LHX3/OLFM1/NCS1/BRINP1/NTN3/TENM2/FOXP1/TUBB3/TCF12/ALDH1A2/ISL2/ACTG1/B2M/SOX2/EPHB3/EPHA4/SOX14/PRRX1/LHX9/EN1/NEUROD1/GBX2/FN1/VAX1/FGF8/VCL/KIF1BP/ATOH7/GPRIN2/ARF6/CNTF/BDNF/CTNNA2/UNC5C/FGF2/EPHA5/TENM1/SOX3/PLP1/EPHA7/FYN/SGK1/TXLNB/MDGA1/SIX3/PRPH2/TGFB2/VSX1/SNAP25/PTK2/STMN2/BHLHE22/CDH2/ADCYAP1/IRX4/DTNBP1/CCK/POMGNT2/DLX5/SHH/WNT9A/WNT3A/MAP6/GDPD5/WNT11/FZD4/DCT/FARP1/ANOS1/DMD/EFHC2/OLIG2/GAP43/WNT7B/IGF1/LLPH/NELL2/CNTN1/NRCAM/LAMB1/RELN/SEMA3C/SEMA3E/SEMA3A/GATA3",116
"GO:0003008","system process","107/909","164/2031",2.98075308607696e-08,4.25353465383182e-06,3.45767357984927e-06,"MYLPF/OPN2SW/OPN1LW/CHRNB3/CHRNA6/RBP4/ISL1/TPM2/MYO1A/TGFB1/MYL4/KCNH6/ACE/CRHR1/OPN1MSW/GUCA1A/GUCA1B/MYOG/TNNT2/CACNA1S/LHFPL5/CHRNB2/APOA1/GNRH1/TNNC2/PAFAH1B1/ADORA2B/SLC9A3R1/MYH1D/TBX3/CRYBA4/CRYBB2/MYL2/MYH11/GABRA6/GABRA1/GABRG2/HBEGF/RHO/TNNC1/RGS9BP/SLC24A1/RLBP1/CHRNA7/TPM1/CHRNA5/CHRNA3/CHRNB4/B2M/P2RY1/CHRNG/CHRND/AGTR1/SOX14/RPE65/RBP/PTGS2/INHBB/CRYBA2/CHRNA1/PDE6C/PCDH15/BMP4/VSX2/ACTC1/MYBPC3/TNNI2/TNNT3/BDNF/CNGA1/KIT/NMU/HOPX/GABRE/GABRQ/CHRNA2/IMPG1/SOBP/PLN/VIP/CHRM3/PRPH2/TGFB2/VSX1/SNAP25/LHCGR/HAS2/CALB1/CHD7/FAM65B/EGFR/FZD4/GJB6/CNGA3/GABRB3/DMD/CRYAA/GJA5/IMPG2/CASQ2/CALD1/CACNA1C/CHRM2/PTN/NTS/GATA3/OPN1SW",107
