"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005886","plasma membrane","272/941","455/2104",2.39513337669232e-13,5.93993077419696e-11,4.41208779917007e-11,"OPN1LW/MUSK/LPL/CHRNB3/CHRNA6/EFNA5/SYK/PTCH1/ANXA1/PIP5K1B/SLC24A2/LRP1/LMBRD2/TLN1/CNTFR/VDR/MYO1A/ASIC1/BIN2/ACTN4/TGM2/ACHE/LOC396477/OCLN/EFNA2/PALM/BSG/ATP6V0A1/ACE/CRHR1/FZD2/RHOC/CNTN2/NFASC/KCNA10/ADORA1/CACNA1S/LHFPL5/MPZ/S100A6/CHRNB2/NTRK1/PLEKHO1/CRYAB/NCAM1/CD3E/THY1/SORL1/HSPA8/OPCML/NTM/PTPRU/FGR/SDC3/FGFR1/GFRA2/PRNP/RAP1GAP2/SLC2A1/EPHB2/AGRN/MXRA8/CDH4/ADA/SRC/ADORA2B/TLCD1/MYO1C/YWHAE/KCTD7/HSPB1/SLC9A3R1/P4HB/SDK2/NME2/SLC16A3/PIK3R5/KCNT1/NCS1/SPTAN1/STXBP1/CACNA1B/ENTPD8/ENTPD2/BF2/RACK1/PXN/TRPV4/HVCN1/FZD10/RIMBP2/KCNJ12/PDLIM4/GABRA6/GABRA1/GABRG2/TENM2/HBEGF/RHO/CACNA1D/CDH1/CDH13/WWOX/CDH5/MMP2/ANPEP/SLC24A1/ABHD17C/BCL2L10/CHRNA7/ANXA2/TPM1/CHRNA5/CHRNA3/CHRNB4/LINGO1/ACTG1/B2M/P2RY1/KCNAB1/EPHB3/AP2M1/CHRNG/CHRND/AGTR1/EPHA4/TF/GPC1/SLC35G2/NEGR1/RPE65/LRP8/RBP/KCNJ3/SLC11A1/DES/CHRNA1/FZD7/FN1/FGFR2/TECTB/PDE6C/VCL/KCNMA1/PCDH15/CDHR1/GPRIN2/ARF6/CKB/HSP90AA1/DIO3/GPHN/ACTN1/CHRM4/RAPSN/HRAS/SWAP70/RIC8A/GFRA4/CTNNA2/FGFRL1/MAEA/FGFR3/AFAP1/NSG1/RELL1/CNGA1/PDGFRA/KIT/SLC7A2/MTNR1A/UNC5C/BMPR1B/ANXA5/EPHA5/EPGN/TLR2A/GPR50/ATP1B4/TENM1/MAGT1/GABRE/GABRQ/PLP1/PDZD11/FZD3/CHRNA2/EEF1A1/EPHA7/BVES/POPDC3/FYN/GJA1/CHRM3/CAPN11/HSP90AB1/MDGA1/CAPN2/SNAP25/BFSP1/EPCAM/LHCGR/LY6E/PTK2/HAS2/TRHR/FZD6/CALB1/ATP6V0D2/CA2/CDH2/APCDD1/CDH7/MBP/FAM65B/BASP1/CDH10/CDH6/CDH20/DTNBP1/EGFR/AMPH/TGFBR2/RFTN1/FAM126A/FZD1/ITGA8/APBB1IP/MASTL/ITGB1/SHH/ACVR2B/MYD88/MYO1G/WNT3A/CSPG5/ILK/GDPD5/FZD4/MTNR1B/CNTN5/PGR/GJB6/FLT1/LPAR6/TSC22D1/FARP1/TMEM182/CNGA3/GABRB3/P2RY8/DMD/GJA8/GJA5/GAP43/LSAMP/GAPDH/SCNN1A/SLC2A14/CACNA1C/CHRM2/SLC41A2/MYH9/ATP2B1/KITLG/SYT1/CNTN1/NRCAM/TES/CAV1/PODXL/ARF5",272
"GO:0043005","neuron projection","112/941","163/2104",1.11307708314654e-10,1.38021558310171e-08,1.02520257658234e-08,"OPN2SW/OPN1LW/VCAN/CHRNB3/CHRNA6/ALDH1A1/PALM/BSG/IGF2BP1/CRHR1/OPN1MSW/RHOC/GUCA1A/GUCA1B/CNTN2/NFASC/ADORA1/ARL8A/CHRNB2/NTRK1/THY1/HSPA8/STMN1/NEFM/GNRH1/EPHB2/AGRN/STMN3/PAFAH1B1/MYO1C/LIMK1/OLFM1/BRINP1/CACNA1B/RACK1/PDLIM4/GABRA6/GABRA1/GABRG2/TENM2/RHO/RGS9BP/ABHD17C/CHRNA7/CRABP1/CHRNA5/CHRNA3/CHRNB4/ACTG1/KCNAB1/EPHB3/CHRNG/CHRND/PLS1/EPHA4/PTGS2/CHRNA1/ATOH7/PCDH15/CHAT/HSP90AA1/GPHN/CNTF/TPH1/BDNF/CTNNA2/NSG1/CNGA1/UNC5C/CAMK2D/EPHA5/TENM1/GABRE/GABRQ/CHRNA2/IMPG1/EPHA7/RGS17/VIP/CRIPT/PRPH2/TGFB2/CAPN2/SNAP25/PTK2/CALB1/STMN2/KLHL14/CDH2/ADCYAP1/MBP/FAM65B/BASP1/DTNBP1/AMPH/CCK/CHDSD/MAP6/GDPD5/FZD4/FARP1/GABRB3/GAP43/CACNA1C/CHRM2/SYT1/CNTN1/NRCAM/RELN/PCLO/SEMA3A/OPN1SW",112
"GO:0030054","cell junction","123/941","188/2104",1.77039627814656e-09,1.46352758993449e-07,1.08708543394964e-07,"MUSK/VCAN/HAPLN1/CHRNB3/CHRNA6/ALDH1A1/SH3GL2/TLN1/ACTN4/ACHE/OCLN/PALM/ATP6V0A1/ADORA1/CSRP1/ARL8A/CHRNB2/HSPA8/PTPRU/NEFM/AGRN/GID8/CDH4/ADA/SRC/PAFAH1B1/ADORA2B/SDK2/OLFM1/NCS1/SPTAN1/STXBP1/CACNA1B/PXN/TRPV4/RIMBP2/PDLIM4/PDLIM7/GABRA6/GABRA1/GABRG2/TENM2/CDH1/RPL13/CDH13/CDH5/ABHD17C/CHRNA7/CHRNA5/CHRNA3/CHRNB4/ACTG1/CHRNG/CHRND/LPP/GPC1/SLC35G2/RPL5/TNS1/DES/CHRNA1/COL17A1/VCL/KCNMA1/PCDH15/CHAT/GPHN/ACTN1/CHRM4/RAPSN/HRAS/RPS13/BDNF/RAD51/CTNNA2/NSG1/KIT/PDLIM3/UNC5C/GABRE/GABRQ/PDZD11/CHRNA2/BVES/GJA1/RGS17/CHRM3/SNAP25/EPCAM/PTK2/CALB1/CDH2/CDH7/BASP1/CDH10/CDH6/CDH20/PHACTR1/DTNBP1/AMPH/SCIN/ITGB1/XIRP1/CSPG5/ILK/FZD4/YAP1/GJB6/FARP1/GABRB3/DMD/GJA8/GJA5/GAP43/BORCS5/CACNA1C/CHRM2/SYT1/NRCAM/TES/CAV1/PCLO/SEMA3A",123
"GO:0042995","cell projection","149/941","238/2104",3.06630326737677e-09,1.73456909179104e-07,1.28841082794326e-07,"OPN2SW/OPN1LW/VCAN/CHRNB3/CHRNA6/ANXA1/ALDH1A1/SH3GL2/TLN1/MYO1A/ACTN4/PALM/BSG/IGF2BP1/CRHR1/OPN1MSW/RHOC/GUCA1A/GUCA1B/CNTN2/NFASC/ADORA1/ARL8A/S100A6/CHRNB2/NTRK1/PLEKHO1/THY1/HSPA8/STMN1/PHACTR4/FGR/NEFM/GNRH1/EPHB2/AGRN/STMN3/PAFAH1B1/MYO1C/LIMK1/SLC9A3R1/NME2/OLFM1/SPTAN1/BRINP1/CACNA1B/RACK1/TRPV4/PDLIM4/GABRA6/GABRA1/GABRG2/TENM2/RHO/WWOX/RGS9BP/ARL2BP/ABHD17C/CHRNA7/CRABP1/CHRNA5/CHRNA3/CHRNB4/ACTG1/KCNAB1/EPHB3/CHRNG/CHRND/PLS1/EPHA4/PTGS2/VIL1/CHRNA1/ACTA2/VCL/ATOH7/PCDH15/CHAT/ARF6/HSP90AA1/GPHN/ACTN1/CNTF/TPH1/SWAP70/BDNF/CTNNA2/NSG1/CNGA1/PDGFRA/PDLIM3/UNC5C/CAMK2D/EPHA5/TENM1/GABRE/GABRQ/ARHGEF6/CHRNA2/EEF1A1/IMPG1/EPHA7/RGS17/VIP/CRIPT/PRPH2/TGFB2/CAPN2/SNAP25/PTK2/CALB1/STMN2/KLHL14/CDH2/ADCYAP1/MBP/FAM65B/BASP1/DTNBP1/AMPH/CCK/SCIN/ITGB1/MYO1G/CHDSD/ILK/MAP6/GDPD5/FZD4/FARP1/GABRB3/DMD/EFHC2/IMPG2/GAP43/SCNN1A/SLC2A14/CACNA1C/CHRM2/MYH9/KITLG/SYT1/CNTN1/NRCAM/RELN/PCLO/SEMA3A/PODXL/OPN1SW",149
"GO:0120025","plasma membrane bounded cell projection","142/941","225/2104",3.49711510441742e-09,1.73456909179104e-07,1.28841082794326e-07,"OPN2SW/OPN1LW/VCAN/CHRNB3/CHRNA6/ANXA1/ALDH1A1/TLN1/MYO1A/PALM/BSG/IGF2BP1/CRHR1/OPN1MSW/RHOC/GUCA1A/GUCA1B/CNTN2/NFASC/ADORA1/ARL8A/S100A6/CHRNB2/NTRK1/PLEKHO1/THY1/HSPA8/STMN1/PHACTR4/FGR/NEFM/GNRH1/EPHB2/AGRN/STMN3/PAFAH1B1/MYO1C/LIMK1/SLC9A3R1/NME2/OLFM1/BRINP1/CACNA1B/RACK1/TRPV4/PDLIM4/GABRA6/GABRA1/GABRG2/TENM2/RHO/WWOX/RGS9BP/ARL2BP/ABHD17C/CHRNA7/CRABP1/CHRNA5/CHRNA3/CHRNB4/ACTG1/KCNAB1/EPHB3/CHRNG/CHRND/PLS1/EPHA4/PTGS2/VIL1/CHRNA1/ACTA2/ATOH7/PCDH15/CHAT/ARF6/HSP90AA1/GPHN/ACTN1/CNTF/TPH1/SWAP70/BDNF/CTNNA2/NSG1/CNGA1/PDGFRA/PDLIM3/UNC5C/CAMK2D/EPHA5/TENM1/GABRE/GABRQ/ARHGEF6/CHRNA2/EEF1A1/IMPG1/EPHA7/RGS17/VIP/CRIPT/PRPH2/TGFB2/CAPN2/SNAP25/PTK2/CALB1/STMN2/KLHL14/CDH2/ADCYAP1/MBP/FAM65B/BASP1/DTNBP1/AMPH/CCK/ITGB1/MYO1G/CHDSD/ILK/MAP6/GDPD5/FZD4/FARP1/GABRB3/DMD/EFHC2/GAP43/SCNN1A/CACNA1C/CHRM2/MYH9/KITLG/SYT1/CNTN1/NRCAM/RELN/PCLO/SEMA3A/PODXL/OPN1SW",142
"GO:0005576","extracellular region","187/941","315/2104",1.11581938970744e-08,4.61205347745743e-07,3.42576128418952e-07,"LOX/TXN/ALDOB/VCAN/HAPLN1/ARSK/LPL/RBP4/ANXA1/FST/CNTFR/COL2A1/TGFB1/TGM2/ACHE/PHOSPHO1/COL1A1/FMOD/OLFML3/WNT2B/S100A11/S100A10/CTSK/IL18/APOA1/SORL1/COL9A2/SFRP1/LOXL2/GNRH1/PRNP/WNT4/DRAXIN/NBL1/AGRN/COL9A3/DHRS11/ELN/ENGASE/NOG/NME2/NTN1/GSN/OLFM1/EXFABP/BF2/NTN3/HBA1/FGF1/LECT2/SPARC/HBEGF/TRH/LAMB2/OGN/WFDC1/MMP2/LCAT/ANXA2/LINGO1/B2M/RARRES1/SERPINI1/TF/GPC1/CYR61/TNR/QSOX1/INHBB/IGFBP2/COL6A2/COL6A1/SPP2/COL6A3/FN1/FRZB/COL3A1/MSTN/CASP7/TECTB/COL17A1/FGF8/GDF2/PLAU/RSFR/RNASE6/BMP4/CKB/TGFB3/COCH/GREM1/FGF3/CNTF/TOLLIP/CTSD/IGF2/DKK3/SPON1/BDNF/LOC107051134/FGFBP2/KIT/NMU/FGF2/AFP/ALB/HPSE/IBSP/SPP1/EPGN/PDGFC/SFRP2/CHRDL1/AvBD14/AvBD5/AvBD3/AvBD1/AvBD6/MATN3/GSTA3/COL9A1/COL12A1/IMPG1/TXLNB/VIP/THBS2/HSP90AB1/TGFB2/CST3/XDH/HAS2/COL14A1/COLEC10/CRISPLD1/PI15/TTR/ADCYAP1/OVAL/SERPINB10B/LY86/CRTAP/CCK/NPY/COL1A2/SHH/CATH3/WNT9A/WNT3A/SSPO/HPX/SERPINH1/WNT11/TSKU/FZD4/FLT1/TPT1/F10/LYG2/MGAT4A/ANOS1/CRYAA/CREG1/IMPG2/COL8A1/CCDC80/OVST/SLC2A14/PTHLH/WNT7B/FBLN1/PTN/IGF1/TIMP3/MGP/DCN/LUM/KERA/EPYC/KITLG/NTS/LYZ/NELL2/LAMB1/RELN/SEMA3C/SEMA3E/SEMA3A",187
"GO:0062023","collagen-containing extracellular matrix","38/941","48/2104",8.80387044177436e-07,2.99758518376257e-05,2.22655945313433e-05,"LOX/VCAN/HAPLN1/COL2A1/COL1A1/COL9A2/LOXL2/PRNP/AGRN/COL9A3/ELN/NTN1/NTN3/SPARC/LAMB2/MMP2/ANXA2/GPC1/COL6A2/COL6A1/COL6A3/FN1/COL3A1/COL17A1/COCH/MATN3/COL9A1/COL12A1/IMPG1/THBS2/COL14A1/COL1A2/IMPG2/COL8A1/CCDC80/TIMP3/MGP/LAMB1",38
"GO:0045202","synapse","82/941","125/2104",1.03600490188616e-06,2.99758518376257e-05,2.22655945313433e-05,"MUSK/VCAN/HAPLN1/CHRNB3/CHRNA6/ALDH1A1/SH3GL2/ACHE/PALM/ATP6V0A1/ADORA1/ARL8A/CHRNB2/HSPA8/NEFM/AGRN/PAFAH1B1/ADORA2B/SDK2/OLFM1/NCS1/STXBP1/CACNA1B/RIMBP2/PDLIM4/GABRA6/GABRA1/GABRG2/TENM2/RPL13/ABHD17C/CHRNA7/CHRNA5/CHRNA3/CHRNB4/ACTG1/CHRNG/CHRND/GPC1/SLC35G2/RPL5/CHRNA1/VCL/KCNMA1/PCDH15/CHAT/GPHN/CHRM4/RAPSN/HRAS/RPS13/BDNF/RAD51/NSG1/UNC5C/GABRE/GABRQ/PDZD11/CHRNA2/RGS17/CHRM3/SNAP25/PTK2/CALB1/CDH2/CDH10/CDH6/PHACTR1/DTNBP1/AMPH/CSPG5/FZD4/FARP1/GABRB3/DMD/GAP43/BORCS5/CACNA1C/CHRM2/SYT1/PCLO/SEMA3A",82
"GO:0097060","synaptic membrane","36/941","45/2104",1.08783333281706e-06,2.99758518376257e-05,2.22655945313433e-05,"MUSK/CHRNB3/CHRNA6/PALM/CHRNB2/CACNA1B/PDLIM4/GABRA6/GABRA1/GABRG2/TENM2/ABHD17C/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CHRNG/CHRND/CHRNA1/KCNMA1/GPHN/CHRM4/RAPSN/NSG1/GABRE/GABRQ/CHRNA2/CHRM3/SNAP25/CALB1/CDH2/GABRB3/DMD/GAP43/CACNA1C/CHRM2",36
"GO:0030312","external encapsulating structure","51/941","71/2104",2.39254087969547e-06,5.0170583024508e-05,3.726592542143e-05,"LOX/VCAN/HAPLN1/COL2A1/PHOSPHO1/COL1A1/COL9A2/LOXL2/PRNP/AGRN/COL9A3/ELN/NTN1/NTN3/SPARC/LAMB2/OGN/MMP2/ANXA2/LINGO1/TF/GPC1/COL6A2/COL6A1/COL6A3/FN1/COL3A1/COL17A1/TGFB3/COCH/SPON1/HPSE/MATN3/COL9A1/COL12A1/IMPG1/THBS2/TGFB2/COL14A1/TGFBR2/COL1A2/SSPO/WNT11/TSKU/IMPG2/COL8A1/CCDC80/TIMP3/MGP/EPYC/LAMB1",51
