"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005509","calcium ion binding","68/863","97/1875",7.56687763548243e-07,0.000228519704591569,0.000187180657298776,"MYLPF/VCAN/LPL/ANXA1/FST/LRP1/MYL6/ACTN4/TGM2/MYL4/GUCA1A/GUCA1B/S100A6/S100A11/S100A10/LOXL2/AGRN/TNNC2/CDH4/MYL9/NCS1/SPTAN1/MYL2/RHOT2/SPARC/TENM2/TNNC1/CDH1/CDH13/CDH5/ANXA2/PLS1/LRP8/VIL1/MYL1/PCDH15/CDHR1/CALM1/ACTN1/ANXA5/HPGDS/MATN3/VSNL1/HPCAL1/THBS2/CAPN11/CAPN2/NCALD/CALB1/CDH2/CDH7/CDH10/CDH6/CDH20/OVAL/TUBB2B/SHH/MYL3/TPT1/F10/CASQ2/FBLN1/PVALB/MGP/SYT1/NELL2/PCLO/CALML3",68
"GO:0022836","gated channel activity","36/863","46/1875",6.40736431872366e-06,0.000645008008084848,0.000528326531543881,"CHRNB3/CHRNA6/ASIC1/KCNH6/KCNA10/CACNA1S/CHRNB2/KCNT1/NCS1/CACNA1B/HVCN1/KCNJ12/GABRA6/GABRA1/GABRG2/CACNA1D/CHRNA7/ANXA2/CHRNA5/CHRNA3/CHRNB4/KCNAB1/CHRNG/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/GABRE/GABRQ/CHRNA2/SNAP25/CNGA3/GABRB3/SCNN1A/CACNA1C",36
"GO:0022839","monoatomic ion gated channel activity","36/863","46/1875",6.40736431872366e-06,0.000645008008084848,0.000528326531543881,"CHRNB3/CHRNA6/ASIC1/KCNH6/KCNA10/CACNA1S/CHRNB2/KCNT1/NCS1/CACNA1B/HVCN1/KCNJ12/GABRA6/GABRA1/GABRG2/CACNA1D/CHRNA7/ANXA2/CHRNA5/CHRNA3/CHRNB4/KCNAB1/CHRNG/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/GABRE/GABRQ/CHRNA2/SNAP25/CNGA3/GABRB3/SCNN1A/CACNA1C",36
"GO:0005261","monoatomic cation channel activity","36/863","47/1875",1.54191961626213e-05,0.00103337525436014,0.000846438427238179,"CHRNB3/CHRNA6/SLC24A2/ASIC1/TMEM38A/KCNH6/KCNA10/CACNA1S/CHRNB2/KCNT1/NCS1/CACNA1B/TRPV4/HVCN1/KCNJ12/CACNA1D/SLC24A1/CHRNA7/ANXA2/CHRNA5/CHRNA3/CHRNB4/KCNAB1/CHRNG/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/ANXA5/CHRNA2/SNAP25/CNGA3/ATP6V1A/SCNN1A/CACNA1C",36
"GO:0004888","transmembrane signaling receptor activity","71/863","108/1875",1.71088618271547e-05,0.00103337525436014,0.000846438427238179,"OPN2SW/OPN1LW/MUSK/CHRNB3/CHRNA6/PTCH1/LRP1/CNTFR/CRHR1/FZD2/OPN1MSW/ADORA1/CHRNB2/NTRK1/CD3E/FGFR1/GFRA2/EPHB2/ADORA2B/FZD10/GABRA6/GABRA1/GABRG2/RHO/CHRNA7/CHRNA5/CHRNA3/CHRNB4/P2RY1/EPHB3/CHRNG/CHRND/AGTR1/EPHA4/CHRNA1/FZD7/FGFR2/CHRM4/GFRA4/FGFRL1/FGFR3/PDGFRA/KIT/MTNR1A/UNC5C/BMPR1B/EPHA5/TLR2A/GPR50/GABRE/GABRQ/FZD3/CHRNA2/EPHA7/CHRM3/LHCGR/TRHR/FZD6/EGFR/TGFBR2/FZD1/LMBR1/ACVR2B/FZD4/MTNR1B/FLT1/LPAR6/GABRB3/P2RY8/CHRM2/OPN1SW",71
"GO:0005216","monoatomic ion channel activity","42/863","58/1875",3.24531192964738e-05,0.00163347367125585,0.0013379794797669,"CHRNB3/CHRNA6/SLC24A2/ASIC1/TMEM38A/KCNH6/KCNA10/CACNA1S/CHRNB2/KCNT1/NCS1/CACNA1B/TRPV4/HVCN1/KCNJ12/GABRA6/GABRA1/GABRG2/CACNA1D/SLC24A1/CHRNA7/ANXA2/CHRNA5/CHRNA3/CHRNB4/KCNAB1/CHRNG/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/ANXA5/GABRE/GABRQ/CHRNA2/SNAP25/CNGA3/GABRB3/ATP6V1A/SCNN1A/CACNA1C",42
"GO:0015267","channel activity","46/863","66/1875",6.61918442046645e-05,0.00249874211872608,0.0020467214984337,"CHRNB3/CHRNA6/SLC24A2/ASIC1/TMEM38A/KCNH6/KCNA10/CACNA1S/CHRNB2/KCNT1/NCS1/CACNA1B/TRPV4/HVCN1/KCNJ12/GABRA6/GABRA1/GABRG2/CACNA1D/SLC24A1/CHRNA7/ANXA2/CHRNA5/CHRNA3/CHRNB4/KCNAB1/CHRNG/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/ANXA5/GABRE/GABRQ/CHRNA2/GJA1/SNAP25/GJB6/CNGA3/GABRB3/GJA8/GJA5/ATP6V1A/SCNN1A/CACNA1C",46
"GO:0022803","passive transmembrane transporter activity","46/863","66/1875",6.61918442046645e-05,0.00249874211872608,0.0020467214984337,"CHRNB3/CHRNA6/SLC24A2/ASIC1/TMEM38A/KCNH6/KCNA10/CACNA1S/CHRNB2/KCNT1/NCS1/CACNA1B/TRPV4/HVCN1/KCNJ12/GABRA6/GABRA1/GABRG2/CACNA1D/SLC24A1/CHRNA7/ANXA2/CHRNA5/CHRNA3/CHRNB4/KCNAB1/CHRNG/CHRND/KCNJ3/CHRNA1/KCNMA1/CNGA1/ANXA5/GABRE/GABRQ/CHRNA2/GJA1/SNAP25/GJB6/CNGA3/GABRB3/GJA8/GJA5/ATP6V1A/SCNN1A/CACNA1C",46
"GO:0015276","ligand-gated monoatomic ion channel activity","24/863","30/1875",0.000133564836348632,0.00403365805772868,0.00330397226757142,"CHRNB3/CHRNA6/ASIC1/KCNH6/CHRNB2/KCNJ12/GABRA6/GABRA1/GABRG2/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CHRNG/CHRND/KCNJ3/CHRNA1/CNGA1/GABRE/GABRQ/CHRNA2/CNGA3/GABRB3/SCNN1A",24
"GO:0022834","ligand-gated channel activity","24/863","30/1875",0.000133564836348632,0.00403365805772868,0.00330397226757142,"CHRNB3/CHRNA6/ASIC1/KCNH6/CHRNB2/KCNJ12/GABRA6/GABRA1/GABRG2/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CHRNG/CHRND/KCNJ3/CHRNA1/CNGA1/GABRE/GABRQ/CHRNA2/CNGA3/GABRB3/SCNN1A",24
