"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OPN1MSW",2730.16395414682,15.8282403448594,1.45281398940504,10.8948843143652,1.21921409622784e-27,1.56074271019443e-26
"HINTW",22014.6037928338,15.3147920155669,1.36428135563014,11.2255378645801,3.05521728300197e-29,4.22430312537196e-28
"UBE2R2L",1741.11300324771,14.3582285417859,1.45323276787669,9.88019872602008,5.07322001978232e-23,5.24369190863149e-22
"GUCA1A",1262.47067944896,14.3480786267672,1.46456832242112,9.7967970541982,1.16212263427813e-22,1.1814254648815e-21
"SMAD2W",982.516783727555,13.4375961412472,1.45294501855768,9.24852349511927,2.27615032633823e-20,2.05426289895438e-19
"EAAT5L",761.943123351666,13.4054850133917,1.46077557841545,9.17696408091178,4.43416128797685e-20,3.93263176940104e-19
"GSG1L2",597.829106703128,13.3549736593374,1.46873705407219,9.09282816982776,9.64956810376866e-20,8.42481522905956e-19
"GYS2",490.44395588423,13.3195504700268,1.46362283527735,9.10039810051393,9.00013207907208e-20,7.873139930439e-19
"PNPLA1",4002.15936801723,13.268956059539,1.03330786040739,12.8412417711674,9.63170242730546e-38,1.76610756266737e-36
"ARR3",9373.79238730774,13.2281075468995,1.04363029022076,12.6750897045173,8.12656687476865e-37,1.4486453654595e-35
