"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LYPD2",19804.9179942565,18.7761778744463,1.45413606855855,12.9122564802747,3.83884304574779e-38,4.04002185090347e-37
"KRT6A",7493.02028002686,17.3739013286903,1.4529135558366,11.9579731766534,5.89840577035731e-33,5.35575243948444e-32
"S100A4",24840.978605134,16.7074487367986,1.04121954855777,16.0460382826472,6.09313613975651e-58,1.13584418289245e-56
"OGN",3832.58386405053,16.403320254344,1.46711542638011,11.1806610164387,5.07108518665201e-29,4.07801662117626e-28
"PITX2",3716.0407300494,16.3620368862321,1.45336945645206,11.2580024395,2.11498466633492e-29,1.71931187766927e-28
"LOC101747386",2841.94123912168,15.9751261369394,1.45397365279257,10.9872184452977,4.40286406926782e-28,3.43140205798261e-27
"FGFBP1",2589.61954107786,15.8404893102109,1.45987640345444,10.8505687691973,1.98188202983345e-27,1.51110078405626e-26
"COL1A1",99949.7121706189,15.8079451555605,0.428446504541865,36.8959601443449,5.36444846201399e-298,5.06319232996299e-295
"PDE6C",4803.78295988709,-15.6957039466066,1.45207109742265,-10.8091841883401,3.11427258225869e-27,2.35746096317624e-26
"LOC112529929",2086.25010665518,15.5288110882929,1.45501189584091,10.6726351397411,1.36693805560158e-26,1.015884796979e-25
